time,submit_job_all,start_job_all,end_job_all,submit_gpu_job,start_gpu_job,end_gpu_job,submit_gpu_num,start_gpu_num,end_gpu_num
2020-04-01 00:00:00,6,6,4,3,3,2,3,3,2
2020-04-01 00:10:00,4,4,4,3,3,2,3,3,2
2020-04-01 00:20:00,6,6,6,3,3,4,24,24,22
2020-04-01 00:30:00,1,1,5,1,1,4,4,4,32
2020-04-01 00:40:00,6,6,3,4,4,2,22,22,5
2020-04-01 00:50:00,5,5,6,3,3,4,9,9,14
2020-04-01 01:00:00,9,9,9,5,5,5,10,10,10
2020-04-01 01:10:00,4,4,4,3,3,3,6,6,7
2020-04-01 01:20:00,4,4,4,3,3,3,19,19,13
2020-04-01 01:30:00,6,6,6,5,5,5,26,26,26
2020-04-01 01:40:00,5,5,4,5,5,3,29,29,17
2020-04-01 01:50:00,3,3,4,3,3,4,20,20,28
2020-04-01 02:00:00,2,2,1,2,2,1,12,12,4
2020-04-01 02:10:00,2,2,3,2,2,3,12,12,16
2020-04-01 02:20:00,1,1,0,1,1,0,4,4,0
2020-04-01 02:30:00,0,0,1,0,0,1,0,0,4
2020-04-01 02:40:00,1,1,0,1,1,0,4,4,0
2020-04-01 02:50:00,0,0,1,0,0,1,0,0,4
2020-04-01 03:00:00,1,1,0,1,1,0,4,4,0
2020-04-01 03:10:00,0,0,2,0,0,2,0,0,8
2020-04-01 03:20:00,0,0,0,0,0,0,0,0,0
2020-04-01 03:30:00,0,0,0,0,0,0,0,0,0
2020-04-01 03:40:00,2,2,2,2,2,2,4,4,2
2020-04-01 03:50:00,2,2,2,2,2,2,4,4,3
2020-04-01 04:00:00,2,2,3,2,2,3,4,4,36
2020-04-01 04:10:00,0,0,3,0,0,3,0,0,20
2020-04-01 04:20:00,0,0,1,0,0,1,0,0,2
2020-04-01 04:30:00,1,1,1,1,1,1,2,2,1
2020-04-01 04:40:00,0,0,0,0,0,0,0,0,0
2020-04-01 04:50:00,0,0,3,0,0,3,0,0,10
2020-04-01 05:00:00,0,0,1,0,0,1,0,0,8
2020-04-01 05:10:00,8,8,8,0,0,0,0,0,0
2020-04-01 05:20:00,0,0,1,0,0,1,0,0,6
2020-04-01 05:30:00,0,0,0,0,0,0,0,0,0
2020-04-01 05:40:00,0,3,3,0,3,3,0,48,48
2020-04-01 05:50:00,0,0,1,0,0,1,0,0,8
2020-04-01 06:00:00,0,0,0,0,0,0,0,0,0
2020-04-01 06:10:00,0,0,0,0,0,0,0,0,0
2020-04-01 06:20:00,0,0,1,0,0,1,0,0,32
2020-04-01 06:30:00,0,0,1,0,0,1,0,0,8
2020-04-01 06:40:00,0,0,0,0,0,0,0,0,0
2020-04-01 06:50:00,0,0,1,0,0,1,0,0,4
2020-04-01 07:00:00,0,0,0,0,0,0,0,0,0
2020-04-01 07:10:00,0,0,0,0,0,0,0,0,0
2020-04-01 07:20:00,0,0,0,0,0,0,0,0,0
2020-04-01 07:30:00,0,0,0,0,0,0,0,0,0
2020-04-01 07:40:00,0,0,0,0,0,0,0,0,0
2020-04-01 07:50:00,0,0,0,0,0,0,0,0,0
2020-04-01 08:00:00,1,1,0,1,1,0,4,4,0
2020-04-01 08:10:00,3,3,2,3,3,2,12,12,8
2020-04-01 08:20:00,0,0,0,0,0,0,0,0,0
2020-04-01 08:30:00,0,0,0,0,0,0,0,0,0
2020-04-01 08:40:00,3,3,2,3,3,2,24,24,16
2020-04-01 08:50:00,3,3,3,3,3,3,24,24,24
2020-04-01 09:00:00,3,3,2,3,3,2,10,10,5
2020-04-01 09:10:00,0,0,0,0,0,0,0,0,0
2020-04-01 09:20:00,1,1,1,1,1,1,2,2,2
2020-04-01 09:30:00,3,3,2,3,3,2,76,76,64
2020-04-01 09:40:00,0,0,1,0,0,1,0,0,2
2020-04-01 09:50:00,1,1,1,1,1,1,8,8,12
2020-04-01 10:00:00,9,7,7,9,7,7,88,72,50
2020-04-01 10:10:00,6,6,7,6,6,7,56,56,80
2020-04-01 10:20:00,10,10,12,10,10,12,76,76,94
2020-04-01 10:30:00,10,10,4,9,9,4,58,58,10
2020-04-01 10:40:00,13,15,14,8,10,10,32,48,84
2020-04-01 10:50:00,7,7,8,6,6,6,10,10,14
2020-04-01 11:00:00,15,15,16,9,9,10,48,48,56
2020-04-01 11:10:00,12,12,10,7,7,5,51,51,11
2020-04-01 11:20:00,2,2,1,1,1,0,2,2,0
2020-04-01 11:30:00,8,8,5,6,6,4,9,9,8
2020-04-01 11:40:00,17,17,16,17,17,15,88,88,56
2020-04-01 11:50:00,12,12,10,10,10,9,66,66,58
2020-04-01 12:00:00,1,1,2,1,1,2,16,16,16
2020-04-01 12:10:00,1,1,3,1,1,2,4,4,20
2020-04-01 12:20:00,7,7,6,3,3,3,57,57,25
2020-04-01 12:30:00,6,6,6,4,4,3,43,43,42
2020-04-01 12:40:00,13,12,14,12,11,13,40,32,52
2020-04-01 12:50:00,13,13,15,13,13,15,91,98,100
2020-04-01 13:00:00,14,14,8,14,14,8,34,34,11
2020-04-01 13:10:00,11,12,15,11,12,15,26,27,33
2020-04-01 13:20:00,17,17,14,17,17,14,49,49,53
2020-04-01 13:30:00,12,12,15,10,10,13,38,38,49
2020-04-01 13:40:00,18,16,12,18,16,12,76,44,26
2020-04-01 13:50:00,6,6,7,6,6,7,18,18,28
2020-04-01 14:00:00,12,12,14,11,11,14,45,45,60
2020-04-01 14:10:00,16,16,14,13,13,11,71,71,63
2020-04-01 14:20:00,7,7,9,7,7,9,44,44,49
2020-04-01 14:30:00,7,7,4,5,5,3,27,27,17
2020-04-01 14:40:00,7,7,5,6,6,4,28,28,12
2020-04-01 14:50:00,13,13,11,8,8,7,16,16,22
2020-04-01 15:00:00,13,14,12,11,12,10,42,58,40
2020-04-01 15:10:00,24,26,25,24,26,24,149,181,203
2020-04-01 15:20:00,20,20,21,17,17,20,148,148,184
2020-04-01 15:30:00,8,8,11,5,5,6,12,12,6
2020-04-01 15:40:00,10,10,9,10,10,8,54,54,49
2020-04-01 15:50:00,6,5,3,6,5,3,33,25,10
2020-04-01 16:00:00,8,9,9,3,4,6,24,32,44
2020-04-01 16:10:00,16,16,15,16,16,12,40,40,33
2020-04-01 16:20:00,11,11,17,11,11,17,115,115,121
2020-04-01 16:30:00,9,8,6,9,8,6,77,61,34
2020-04-01 16:40:00,5,5,5,5,5,5,19,19,19
2020-04-01 16:50:00,9,8,8,6,5,5,41,33,33
2020-04-01 17:00:00,10,10,7,7,7,6,36,36,29
2020-04-01 17:10:00,12,12,11,9,9,6,73,73,56
2020-04-01 17:20:00,11,11,14,11,11,14,27,27,37
