,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
0,MobileNetV3,ImageNet,1,32,0,0.983,ResNet18,CIFAR-10,1,32,0,1.034,64.789,29.461,5106
1,MobileNetV3,ImageNet,1,32,0,1.055,ResNet18,CIFAR-10,1,32,1,0.97,45.562,20.849,5046
2,MobileNetV3,ImageNet,1,32,1,0.985,ResNet18,CIFAR-10,1,32,0,1.018,55.026,27.026,4736
3,MobileNetV3,ImageNet,1,32,1,0.997,ResNet18,CIFAR-10,1,32,1,0.919,39.123,18.918,4786
4,MobileNetV3,ImageNet,1,32,0,0.971,ResNet18,CIFAR-10,1,64,0,0.88,79.855,50.184,5378
5,MobileNetV3,ImageNet,1,32,0,0.978,ResNet18,CIFAR-10,1,64,1,0.819,57.253,31.427,6358
6,MobileNetV3,ImageNet,1,32,1,0.974,ResNet18,CIFAR-10,1,64,0,0.927,87.855,47.368,5116
7,MobileNetV3,ImageNet,1,32,1,0.955,ResNet18,CIFAR-10,1,64,1,0.818,53.816,28.079,6046
8,MobileNetV3,ImageNet,1,32,0,0.729,ResNet18,CIFAR-10,1,128,0,0.89,94.276,53.697,5788
9,MobileNetV3,ImageNet,1,32,0,1.046,ResNet18,CIFAR-10,1,128,1,0.878,70.541,42.041,5714
10,MobileNetV3,ImageNet,1,32,1,0.921,ResNet18,CIFAR-10,1,128,0,1.003,94.27,65.432,5500
11,MobileNetV3,ImageNet,1,32,1,0.979,ResNet18,CIFAR-10,1,128,1,0.864,71.662,43.595,5454
12,MobileNetV3,ImageNet,1,64,0,0.825,ResNet18,CIFAR-10,1,32,0,1.02,70.171,33.434,5674
13,MobileNetV3,ImageNet,1,64,0,0.88,ResNet18,CIFAR-10,1,32,1,0.941,53.311,26.716,5618
14,MobileNetV3,ImageNet,1,64,1,0.95,ResNet18,CIFAR-10,1,32,0,0.975,58.733,29.227,5084
15,MobileNetV3,ImageNet,1,64,1,0.959,ResNet18,CIFAR-10,1,32,1,0.853,41.892,20.014,5058
