job_id,priority
765469,1200
765470,-1034
765471,741
765472,-1532
765473,629
765474,2247
765475,3957
765476,293
765477,2093
765478,1461
765479,135
765480,-1382
765481,1179
765482,-652
765483,741
765484,293
765485,1382
765486,-53
765487,293
765488,1179
765489,741
765490,629
765491,1309
765492,1143
765493,-227
765494,293
765495,-441
765496,293
765497,135
765498,8074
765499,1461
765500,1200
765501,-227
765502,2093
765503,1143
765504,3948
765505,1448
765506,-441
765507,190
765508,1143
765509,190
765510,1190
765511,544
765512,1190
765513,836
765514,135
765519,-1725
765520,-652
765522,544
765524,1906
765525,3283
765526,-652
765527,1200
765528,-1843
765530,-14564
765531,-16138
765532,-16053
765533,205091
765534,125157
765535,125157
765536,-3086
765537,2668
765538,-3926
765539,-2291
765540,-3086
765541,-1585
765542,-2489
765543,-1843
765544,-2842
765545,-3686
765546,-1282
765547,-1833
765548,-7928
765549,-2421
765550,-1678
765551,331
765552,-2732
765553,-2842
765554,2143
765555,-2897
765556,-1898
765557,-1788
765558,-2489
765559,142206
765560,-940
765561,-2404
765563,25619
765564,-2489
765565,122045
765566,161329
765567,-3474
765568,-2197
765569,-4493
765570,-3926
765571,-940
765573,-1833
765574,-2197
765575,-2732
765576,-2404
765578,-3926
765579,-4566
765580,-3686
765581,-3926
765582,-3875
765583,24803
765584,-2969
765585,-4033
765586,-2076
765587,-4397
765588,-4062
765589,-3875
765590,-3875
765591,-3896
765593,-220
765594,-3361
765596,-5702
765597,-4062
765598,-3624
765599,-3025
765600,-2076
765601,-4749
765602,-4749
765603,-2076
765604,-4571
765605,-2076
765606,-3333
765607,-5062
765608,-3624
765609,-2978
765610,-2005
765611,-4349
765612,-4095
765613,-3624
765614,-3978
765615,16786
765616,-4556
765617,-3624
765618,32616
765619,-981
765622,4725
765623,1301
765624,-487
765625,76
765626,3749
765627,861
765628,-15224
765632,-3112
765633,-19769
765634,3371
765635,-8100
765636,-4163
765637,-4163
765638,2985
765639,-3504
765641,-4960
765642,-5799
765643,-6358
765644,-4897
765645,-4305
765646,3740
765647,5858
765648,3532
765649,-4390
765651,-22289
765652,-17447
765653,3944
765655,-1707
765658,-4268
765659,4432
765660,-1707
765661,-4179
765669,6130
765670,-18182
765671,5571
765672,-15162
765673,5767
765674,7736
765675,564
765676,-15417
765677,8056
765678,259
765679,7130
765680,5764
765681,220255
765683,-1712
765682,7388
765684,-818
765685,8602
765686,306
765687,6804
765688,-15793
765690,-74
765691,2057
765692,2292
765693,-1465
765694,-531
765695,301
765696,-15162
765697,4275
765699,-95
765700,15472
765701,-531
765702,13310
765703,10561
765704,3742
765705,-931
765706,386
765707,-531
765708,-2558
765709,-15162
765710,803
765711,-3487
765712,1130
765713,813
765714,123
765716,-1171
765726,1791
765729,-15793
765730,-218
765731,3524
765739,-1452
765740,-1482
765741,-3959
765742,-17391
765743,-3946
765744,-2405
765745,-2052
765746,-2295
765747,5400
765748,-1461
765749,45947
765750,-1406
765751,114920
765752,140217
765753,159741
765754,140217
765755,-3249
765756,-5218
765758,159244
765759,-2461
765760,4564
765762,29972
765763,-2295
765764,639
765765,-210
765766,5402
765767,40022
765768,5117
765769,-2727
765770,-516
765771,4694
765772,5154
765774,599
765775,-1788
765777,186668
765776,222931
765779,5088
765780,-1453
765781,741
765782,8377
765783,187
765784,-2461
765785,725
765786,128181
765787,842
765789,-3239
765790,-478
765791,-2302
765792,173934
765793,-2295
765795,20498
765796,-131
765797,1269
765798,-2396
765799,-2169
765800,517
765801,-2490
765802,4324
765803,4324
765804,4243
765806,-2405
765807,3870
765808,-5171
765809,-5525
765810,-2666
765811,165007
765812,-5120
765813,-3249
765814,-1406
765815,-2912
765816,-3763
765817,-2872
