job_id,priority
765472,10326
765473,10326
765474,10917
765475,12489
765476,10326
765477,10326
765478,12489
765479,10326
765480,10917
765481,12489
765482,10326
765483,12489
765484,10326
765485,12489
765486,10326
765487,10326
765488,12489
765489,12489
765490,10326
765491,10917
765492,10326
765493,10326
765494,10326
765495,10326
765496,10326
765497,10326
765498,10917
765499,12489
765500,10326
765501,10326
765502,10326
765503,10326
765504,10326
765505,10326
765506,10326
765507,10326
765508,10326
765509,10326
765510,10326
765511,10326
765512,10326
765513,10326
765514,10326
765519,10326
765520,10326
765522,10326
765524,10326
765525,10326
765526,10326
765527,10326
765528,10326
765530,15390
765531,15390
765532,15390
765533,15390
765534,15390
765535,15390
765536,10326
765537,10326
765538,10326
765539,12489
765540,10326
765541,10326
765542,10326
765543,10326
765544,10326
765545,10326
765546,12489
765547,10326
765548,10326
765549,10326
765550,10326
765551,10326
765552,10326
765553,10326
765554,12489
765555,10326
765556,10326
765557,12489
765558,10326
765559,12489
765560,10326
765561,10326
765563,12489
765564,10326
765565,10725
765566,12489
765567,10326
765568,10326
765569,10326
765570,10326
765571,10326
765573,10326
765574,10326
765575,10326
765576,10326
765578,10326
765579,10326
765580,10326
765581,10326
765582,10326
765583,15390
765584,10326
765585,10326
765586,10326
765587,10326
765588,10326
765589,10326
765590,10326
765591,10326
765593,10326
765594,10326
765596,10326
765597,10326
765598,10326
765599,10326
765600,10326
765601,10326
765602,10326
765603,10326
765604,10326
765605,10326
765606,10326
765607,10326
765608,10326
765609,10326
765610,10326
765611,10326
765612,10326
765613,10326
765614,10326
765615,12489
765616,10326
765617,10326
765618,15390
765619,10326
765622,10917
765623,10326
765624,10326
765625,10326
765626,10326
765627,10326
765628,12489
765632,12489
765633,12489
765634,10326
765635,12489
765636,12489
765637,12489
765638,10326
765639,12489
765641,12489
765642,12489
765643,12489
765644,12489
765645,12489
765646,10326
765647,10326
765648,10326
765649,10917
765651,10917
765652,10917
765653,10326
765655,10917
765658,10917
765659,10326
765660,10917
765661,10917
765669,27682
765670,10917
765671,27682
765672,10917
765673,10917
765674,10326
765675,10917
765676,10917
765677,10917
765678,10917
765679,10917
765680,10326
765681,10326
765682,10917
765683,10917
765684,10917
765685,10326
765686,10917
765687,15390
765688,10917
765690,10326
765691,15390
765692,15390
765693,10917
765694,10326
765695,10917
765696,10917
765697,10326
765699,15390
765700,13765
765701,10326
765702,15390
765703,15390
765704,10326
765705,10326
765706,12489
765707,10326
765708,10917
765709,10917
765710,10326
765711,10917
765712,10326
765713,10326
765714,10917
765716,10326
765726,12489
765729,10917
765730,10326
765731,10326
765739,10326
765740,12489
765741,10917
765742,10917
765743,10326
765744,10326
765745,10326
765746,10326
765747,27682
765748,10326
765749,27682
765750,10326
765751,10917
765752,10917
765753,10917
765754,10917
765755,10326
765756,10917
765758,10917
765759,10326
765760,10326
765762,15390
765763,10326
765764,10326
765765,10326
765766,10326
765767,27682
765768,10326
765769,10917
765770,10326
765771,10326
765772,10326
765774,10326
765775,10326
765776,13793
765777,13793
765779,10326
765780,10326
765781,10917
765782,10326
765783,10326
765784,10326
765785,10326
765786,15390
765787,10326
765789,10326
765790,10326
765791,10326
765792,15390
765793,10326
765795,10801
765796,10326
765797,10326
765798,10326
765799,10326
765800,10326
765801,10326
765802,10917
765803,10917
765804,10917
765806,10326
765807,10917
765808,10917
765809,10917
765810,10326
765811,10917
765812,12489
765813,10326
765814,10326
765815,12489
765816,10326
765817,10917
765818,10917
765819,10326
765820,10326
765821,10326
765822,10326
765823,10326
765824,10326
765825,10326
765826,10326
765827,10917
765828,10917
765829,10917
765830,10326
765831,10326
765832,10326
765834,10326
765835,10326
765836,10326
765839,12489
765840,10326
765841,10917
765843,10917
765844,10917
765845,10917
765847,10326
765848,10917
765850,15390
765851,15390
765852,15390
765866,15390
765867,15390
765873,15390
765874,10917
765875,15390
